MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,LEVEL_BIN,N_OBSERVATIONS,BIN_MIN_ACTUAL,BIN_MAX_ACTUAL,BIN_MEAN_ACTUAL,MAE,RMSE,MEAN_ERROR
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,ensemble,"(1.95, 3.86]",48,2.0099998,3.7800002,2.9133332520833335,0.8191407583333333,1.1092487043421866,0.6819284125
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,ensemble,"(13.476, 20.62]",48,13.499999,20.589996,17.32229129166667,2.3643461770833336,3.017682709217411,-1.3530392187500002
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,ensemble,"(20.62, 56.07]",49,20.64,56.070004,27.523057122448982,7.430620775510204,9.275625465870368,-7.399936734693878
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,ensemble,"(3.86, 13.476]",49,3.8799996,13.470001,7.83285767755102,1.8679496102040822,2.6752229661565576,0.6265326265306124
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,ensemble,"(1.209, 2.702]",49,1.2099999,2.6899998,1.936734781632653,0.6531560530612245,0.9777177525133545,0.4145090775510205
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,ensemble,"(16.152, 24.276]",48,16.16,24.180002,20.3629174375,5.499714577083334,6.28928017600471,-3.1683533687500005
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,ensemble,"(2.702, 4.976]",48,2.72,4.92,3.6560418812499997,1.5373292604166668,2.1076340770100805,1.1120753395833336
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,ensemble,"(24.276, 217.36]",49,24.34,217.35991,42.57877212244899,20.22481432653061,36.670364591410525,-19.711331877551018
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,ensemble,"(4.976, 16.152]",49,4.9900007,16.15,10.053877832653061,3.949893018367347,6.165872809798406,2.1586536510204084
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,"(10.86, 14.5]",49,10.95,14.499999,12.998978755102042,1.1040789285714285,1.4458046906591022,0.1595606836734692
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,"(14.5, 17.052]",48,14.510002,17.039999,15.695209083333333,1.7800470520833331,2.359757161113102,-0.45565442708333337
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,"(17.052, 23.376]",48,17.1,23.099995,19.207916208333334,2.30174590625,3.512735162320759,-1.49856728125
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,"(23.376, 73.12]",49,23.560001,73.12001,35.020610530612245,13.237053408163266,18.407603452555293,-12.450603938775512
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,ensemble,"(4.989, 10.86]",49,4.99,10.800001,8.400203620408163,1.0249028142857142,1.3594401805483758,0.1384135530612244
