MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,SPIKE_QUANTILE,SPIKE_THRESHOLD,N_ALL,N_SPIKES,N_NON_SPIKES,RMSE_ALL,MAE_ALL,RMSE_SPIKES,MAE_SPIKES,RMSE_NON_SPIKES,MAE_NON_SPIKES,SPIKE_RMSE_PREMIUM
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,NEG,AVERAGE,168.0,recency,0.95,15.850998899999993,243,13,230,1.3135405209099225,0.7286129888888889,2.6103934321632734,2.052037769230769,1.199067488760793,0.6538107186956522,1.9872957024233926
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,NEG,MARGINAL,168.0,recency,0.95,23.936002999999996,243,13,230,4.638323771453759,1.897221927983539,17.04564101485311,9.17124676923077,2.511463380314762,1.4860813934782608,3.6749571299354566
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,168.0,recency,0.95,17.267000599999992,243,13,230,4.170380390603363,2.1605704979423868,15.212717261870258,10.62809336153846,2.300969245681038,1.6819713795652174,3.6478008807415554
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,168.0,recency,0.95,28.057999999999993,243,13,230,20.540523834254685,5.088419275308643,87.19951033653406,44.13275157692307,3.997868003883887,2.8815657104347827,4.245242771808702
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,168.0,recency,0.95,30.666997199999983,243,13,230,3.832496762748471,2.108781370781893,12.01718496071625,10.082406,2.712151474001208,1.6580982395652175,3.1356021164902796
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,168.0,recency,0.95,38.971993299999994,243,13,230,15.915412880615566,5.32937688106996,65.61482263119007,46.09458946153847,4.926867284064157,3.02525617,4.1227219880111745
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,168.0,recency,0.95,40.626993999999996,243,13,230,8.047954807078975,3.91449307037037,30.040371495504463,25.912771384615386,4.174194092233214,2.6711121221739136,3.7326714942634833
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,168.0,recency,0.95,65.84398649999996,243,13,230,16.378224894065774,7.566352597530864,61.20772009502434,55.51325707692308,8.464974877433578,4.856310170434783,3.7371400436198297
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,168.0,recency,0.95,63.1119874,243,13,230,5.487514993389176,2.666344544444444,11.683172345514965,9.93815738461538,4.909157700857335,2.2553290360869567,2.1290460909154167
bidirectional_lstm_ts168_recency,bidirectional_lstm,"BiLSTM (168 TimeSteps), Weighted Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,recency,0.95,80.81896099999997,243,13,230,28.43900703362225,7.617303444032921,108.91556856007305,47.53448143076923,13.564503940554522,5.361115123043478,3.8297950568846066
