MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,N_DIRECTIONAL_OBSERVATIONS,DIRECTIONAL_HIT_COUNT,DIRECTIONAL_ACCURACY
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,NEG,AVERAGE,42.0,ensemble,242,182,0.7520661157024794
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,NEG,MARGINAL,42.0,ensemble,242,172,0.7107438016528925
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,POS,AVERAGE,42.0,ensemble,242,149,0.6157024793388429
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,00_04,POS,MARGINAL,42.0,ensemble,242,138,0.5702479338842975
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,NEG,AVERAGE,42.0,ensemble,242,194,0.8016528925619835
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,NEG,MARGINAL,42.0,ensemble,242,186,0.768595041322314
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,AVERAGE,42.0,ensemble,242,162,0.6694214876033058
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,04_08,POS,MARGINAL,42.0,ensemble,242,149,0.6157024793388429
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,AVERAGE,42.0,ensemble,242,159,0.6570247933884298
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,08_12,NEG,MARGINAL,42.0,ensemble,242,164,0.6776859504132231
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,AVERAGE,42.0,ensemble,242,189,0.78099173553719
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,08_12,POS,MARGINAL,42.0,ensemble,242,182,0.7520661157024794
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,AVERAGE,42.0,ensemble,242,195,0.8057851239669421
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,42.0,ensemble,242,183,0.756198347107438
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,42.0,ensemble,242,197,0.8140495867768595
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,42.0,ensemble,242,178,0.7355371900826446
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,42.0,ensemble,242,187,0.7727272727272727
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,42.0,ensemble,242,183,0.756198347107438
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,16_20,POS,AVERAGE,42.0,ensemble,242,177,0.731404958677686
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,16_20,POS,MARGINAL,42.0,ensemble,242,165,0.6818181818181818
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,20_24,NEG,AVERAGE,42.0,ensemble,242,178,0.7355371900826446
bidirectional_lstm_ts42_ensemble,bidirectional_lstm,"BiLSTM (42 TimeSteps), Ensemble",DEEP_LEARNING,20_24,NEG,MARGINAL,42.0,ensemble,242,173,0.7148760330578512
