DATE,PRODUCT,POS_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],POS_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h]
2021-01-10 20:00:00,20_24,1.17,1.32,0.4312,0.57
2021-01-11 00:00:00,00_04,0.7531,0.9,3.3855,3.9725
2021-01-11 04:00:00,04_08,1.1434,1.5125,1.4524,1.75
2021-01-11 08:00:00,08_12,3.0526,4.26,0.4309,0.525
2021-01-11 12:00:00,12_16,2.11,2.625,0.4133,0.5175
2021-01-11 16:00:00,16_20,4.9195,6.1,0.3995,0.5
2021-01-11 20:00:00,20_24,1.0678,1.265,0.5611,2.25
2021-01-12 00:00:00,00_04,0.7179,1.065,5.7916,10.625
2021-01-12 04:00:00,04_08,1.1842,1.625,2.0505,3.2375
2021-01-12 08:00:00,08_12,3.6597,4.7,0.4225,0.5525
2021-01-12 12:00:00,12_16,2.0905,2.6075,0.4157,0.5525
2021-01-12 16:00:00,16_20,5.5344,6.75,0.3907,0.505
2021-01-12 20:00:00,20_24,1.1507,1.46,0.7254,1.9125
2021-01-13 00:00:00,00_04,0.7337,0.895,5.9797,8.0
2021-01-13 04:00:00,04_08,1.1898,1.5,1.8911,2.485
2021-01-13 08:00:00,08_12,3.6938,4.5,0.4125,0.65
2021-01-13 12:00:00,12_16,1.9729,2.4,0.3971,0.5
2021-01-13 16:00:00,16_20,5.0099,6.1075,0.3918,0.5
2021-01-13 20:00:00,20_24,1.04,1.2275,0.8821,1.3
2021-01-14 00:00:00,00_04,0.7223,0.91,3.5611,5.0
2021-01-14 04:00:00,04_08,1.2126,1.49,1.2831,1.72
2021-01-14 08:00:00,08_12,6.3675,8.25,0.3786,0.5
2021-01-14 12:00:00,12_16,4.2118,5.66,0.3656,0.46
2021-01-14 16:00:00,16_20,9.4902,12.73,0.3738,0.4775
2021-01-14 20:00:00,20_24,1.3703,1.965,0.4918,0.8125
2021-01-15 00:00:00,00_04,0.7991,1.045,3.0693,4.3275
2021-01-15 04:00:00,04_08,1.3519,1.7225,1.061,1.3825
