MODEL,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,RMSE,MAPE,MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE,MODEL_NAME,MODEL_GROUP
bidirectional_lstm_ts42_single,16_20,NEG,AVERAGE,1.865648882326174,0.19151672478633328,1.0346182943978692,0,0,324,0.7136563876651982,2623.9024511380153,0.723856318182571,0.9849969444485188,0.9412596599425848,0.8817758276311384,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,16_20,NEG,MARGINAL,10.806669357721567,0.2886685763046323,2.2584370260188247,0,0,167,0.36784140969163,1737.7647062027177,0.5837752364724805,0.9130956193116941,0.8717774858371221,0.7874917050997527,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,16_20,POS,AVERAGE,13.201019768807763,0.2101659812243812,5.968718010468987,0,0,245,0.539647577092511,5066.786852679212,0.6969663724522155,0.8938408857079905,0.6611266903551001,0.7501078667345732,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,16_20,POS,MARGINAL,28.669609530341102,0.2598584894981922,10.301807056794553,0,0,134,0.29515418502202645,3765.2641326089997,0.6253158562438658,0.7694465724511492,0.4151160355479999,0.6035130517626337,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,20_24,NEG,AVERAGE,0.630321300956229,0.12217628477331045,0.3430258471626358,0,0,395,0.8700440528634361,1089.5599566157698,0.8238367477006676,0.9949311225798624,0.9805247451935472,0.9320049305834521,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,20_24,NEG,MARGINAL,2.1499014145423097,0.21363080332943699,0.9360494053892656,0,0,217,0.4779735682819383,700.3661153862666,0.6919705229565645,0.9827110606619778,0.9468558977926188,0.8720270740952489,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,20_24,POS,AVERAGE,2.9718792128550526,0.11424590197108116,1.8246533604832857,0,0,426,0.9383259911894273,5641.395053975268,0.8352713892844374,0.9761009323109271,0.8964055058159675,0.9019193969385839,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts42_single,20_24,POS,MARGINAL,8.480850820087602,0.18763955584716258,4.010755106682202,0,0,271,0.5969162995594713,4645.578490983124,0.7294467213553761,0.9317992376899171,0.7722898192220362,0.8103612740417725,"BiLSTM (42 TimeSteps, Single)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,00_04,NEG,AVERAGE,2.942102770931719,0.14847554728706489,1.5501938593877151,0,0,427,0.9552572706935123,2976.7555918441144,0.785916429317333,0.9763403865922408,0.9119879138534408,0.8903599251149681,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,00_04,NEG,MARGINAL,6.853871900807614,0.20226015130531036,3.1383090510023157,0,0,266,0.5950782997762863,2540.771144168248,0.7083656117829331,0.9448829724367316,0.8218228482336801,0.8238572288274331,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,00_04,POS,AVERAGE,2.747310279554903,0.5198250781986327,2.2172765327633877,0,0,85,0.19015659955257272,504.0899907551777,0.2504758466658631,0.9779068563587779,0.8741143683220413,0.6963287920110638,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,00_04,POS,MARGINAL,4.707907547779751,0.510807686215863,2.803472551424602,0,0,43,0.09619686800894854,286.75730664426237,0.2634778224739345,0.9621402509659219,0.8408331537302364,0.68456368319087,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,04_08,NEG,AVERAGE,1.4770816538129792,0.09428218812673228,0.75112340699747,0,0,410,0.9172259507829977,2853.128848790907,0.8640566217484874,0.9881216994708035,0.9573550510453775,0.9357865790648254,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,04_08,NEG,MARGINAL,5.975244675593913,0.20534309755946448,2.0582016331214557,0,0,108,0.24161073825503357,1296.5208682456114,0.7039203805352854,0.9519486605165213,0.8831458282818755,0.8449141106854681,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,04_08,POS,AVERAGE,4.186350651860205,0.20859156642063362,2.2712671728859486,0,0,350,0.7829977628635347,3070.1393436527255,0.6992364859428246,0.9663344737679009,0.8710490556575649,0.8440769699309641,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
