DATE,ACTUAL_VALUE,MARGINAL_PRICE,D+1,RMSE,MAPE,MAE
2024-04-19 12:00:00,38.42,38.42,19.23,19.19,0.4994794377928162,19.19
2024-04-20 12:00:00,33.22,33.22,38.42,5.200000000000003,0.15653220951234206,5.200000000000003
2024-04-21 12:00:00,54.86,54.86,33.22,21.64,0.3944586219467736,21.64
2024-04-22 12:00:00,28.64,28.64,54.86,26.22,0.9155027932960893,26.22
2024-04-23 12:00:00,20.0,20.0,28.64,8.64,0.43200000000000005,8.64
2024-04-24 12:00:00,18.14,18.14,20.0,1.8599999999999994,0.10253583241455344,1.8599999999999994
2024-04-25 12:00:00,15.35,15.35,18.14,2.790000000000001,0.1817589576547232,2.790000000000001
2024-04-26 12:00:00,13.74,13.74,15.35,1.6099999999999994,0.11717612809315862,1.6099999999999994
2024-04-27 12:00:00,71.22,71.22,13.74,57.48,0.8070766638584667,57.48
2024-04-28 12:00:00,74.93,74.93,71.22,3.710000000000008,0.049512878686774425,3.710000000000008
2024-04-29 12:00:00,31.18,31.18,74.93,43.75000000000001,1.4031430404105198,43.75000000000001
2024-04-30 12:00:00,41.73,41.73,31.18,10.549999999999997,0.2528157201054397,10.549999999999997
2024-05-01 12:00:00,71.44,71.44,41.73,29.71,0.4158734602463606,29.71
2024-05-02 12:00:00,45.84,45.84,71.44,25.599999999999994,0.5584642233856892,25.599999999999994
2024-05-03 12:00:00,29.89,29.89,45.84,15.950000000000003,0.5336232853797257,15.950000000000003
2024-05-04 12:00:00,28.68,28.68,29.89,1.2100000000000009,0.04218967921896795,1.2100000000000009
2024-05-05 12:00:00,62.84,62.84,28.68,34.160000000000004,0.5436028007638447,34.160000000000004
2024-05-06 12:00:00,28.39,28.39,62.84,34.45,1.2134554420570625,34.45
2024-05-07 12:00:00,20.75,20.75,28.39,7.640000000000001,0.3681927710843374,7.640000000000001
2024-05-08 12:00:00,17.48,17.48,20.75,3.2699999999999996,0.18707093821510296,3.2699999999999996
2024-05-09 12:00:00,42.73,42.73,17.48,25.249999999999996,0.5909197285279663,25.249999999999996
2024-05-10 12:00:00,30.51,30.51,42.73,12.219999999999995,0.4005244182235331,12.219999999999995
2024-05-11 12:00:00,45.9,45.9,30.51,15.389999999999997,0.33529411764705874,15.389999999999997
2024-05-12 12:00:00,64.0,64.0,45.9,18.1,0.2828125,18.1
2024-05-13 12:00:00,42.75,42.75,64.0,21.25,0.49707602339181284,21.25
2024-05-14 12:00:00,71.1,71.1,42.75,28.349999999999994,0.39873417721518983,28.349999999999994
2024-05-15 12:00:00,63.34,63.34,71.1,7.759999999999991,0.12251341964003774,7.759999999999991
2024-05-16 12:00:00,65.0,65.0,63.34,1.6599999999999966,0.025538461538461486,1.6599999999999966
2024-05-17 12:00:00,48.58,48.58,65.0,16.42,0.33799917661589135,16.42
2024-05-18 12:00:00,53.31,53.31,48.58,4.730000000000004,0.08872631776402183,4.730000000000004
2024-05-19 12:00:00,80.9,80.9,53.31,27.590000000000003,0.34103831891223735,27.590000000000003
2024-05-20 12:00:00,136.05,136.05,80.9,55.150000000000006,0.4053656743844175,55.150000000000006
2024-05-21 12:00:00,64.34,64.34,136.05,71.71000000000001,1.114547715262667,71.71000000000001
