DATE,ACTUAL_VALUE,D+1,ORDER,AIC
2024-03-22 16:00:00,1.17,1.2246793908451243,"(3, 0, 1)",110.46744116072861
2024-03-23 16:00:00,5.46,1.2281089874343512,"(2, 0, 3)",107.02160912306896
2024-03-24 16:00:00,6.82,5.5373533132541,"(3, 0, 1)",126.74056751056452
2024-03-25 16:00:00,4.11,5.1891762694642996,"(3, 0, 3)",124.14616857839583
2024-03-26 16:00:00,3.49,2.785406592700665,"(3, 0, 1)",124.20525161010059
2024-03-27 16:00:00,2.91,2.6463107700719295,"(2, 0, 3)",122.66499646249716
2024-03-28 16:00:00,4.56,2.362428126232752,"(3, 0, 3)",122.426016589973
2024-03-29 16:00:00,5.2,3.6678679949093604,"(3, 0, 3)",124.33707830154992
2024-03-30 16:00:00,5.78,5.117795009234492,"(1, 0, 3)",119.45690976176789
2024-03-31 16:00:00,6.31,4.58853958050081,"(1, 0, 3)",118.71157699088285
2024-04-01 16:00:00,7.98,5.708980229373358,"(1, 0, 3)",119.57311336664993
2024-04-02 16:00:00,7.29,7.286351980953613,"(1, 0, 3)",120.49141407270544
2024-04-03 16:00:00,4.98,6.068646141893916,"(1, 0, 3)",120.10799026628325
2024-04-04 16:00:00,4.57,4.272141597637404,"(1, 0, 3)",111.09074091630487
2024-04-05 16:00:00,6.23,4.646975694953419,"(1, 0, 3)",103.96513907359132
2024-04-06 16:00:00,7.95,6.637049882757344,"(1, 0, 3)",102.58125761444853
2024-04-07 16:00:00,9.36,7.404502864976934,"(1, 0, 3)",102.26052691813001
2024-04-08 16:00:00,6.17,8.235259251116739,"(1, 0, 3)",95.75630783497172
2024-04-09 16:00:00,6.35,5.2385159044181195,"(1, 0, 3)",96.5233147932708
2024-04-10 16:00:00,6.16,6.078802251211384,"(1, 0, 3)",96.61707561910742
2024-04-11 16:00:00,7.17,6.374724534524602,"(1, 0, 3)",96.61708632242816
2024-04-12 16:00:00,8.39,8.328221673412857,"(3, 0, 2)",86.77856441124014
2024-04-13 16:00:00,11.63,10.125771243263387,"(3, 0, 2)",86.72326407391185
2024-04-14 16:00:00,15.17,12.201934565030689,"(3, 0, 2)",79.50756848666104
2024-04-15 16:00:00,13.98,10.951043717157253,"(3, 0, 2)",79.5693396799272
2024-04-16 16:00:00,11.12,9.611029509485924,"(3, 0, 2)",79.91542446134481
2024-04-17 16:00:00,8.91,8.645992310615052,"(3, 0, 2)",79.80155367611489
2024-04-18 16:00:00,7.63,8.4958496223698,"(3, 0, 2)",78.88683175856369
2024-04-19 16:00:00,8.8,8.833131513667547,"(3, 0, 2)",78.9853408310661
2024-04-20 16:00:00,9.7,10.704142959120277,"(3, 0, 2)",78.88574522374957
2024-04-21 16:00:00,11.93,10.192240035320577,"(3, 0, 2)",70.81864112860751
2024-04-22 16:00:00,9.21,9.871033580360463,"(3, 0, 2)",71.00972355376507
2024-04-23 16:00:00,7.54,6.909510647643007,"(3, 0, 2)",68.19635412689456
2024-04-24 16:00:00,7.27,6.015637281095639,"(3, 0, 2)",66.15505909782257
2024-04-25 16:00:00,7.98,7.049989646727585,"(3, 0, 2)",66.59294532027772
2024-04-26 16:00:00,7.63,8.12914536667008,"(1, 0, 3)",69.79261895198746
2024-04-27 16:00:00,10.49,9.0853229499264,"(3, 0, 2)",64.47901899401427
2024-04-28 16:00:00,17.66,11.137558297254692,"(3, 0, 2)",64.14674686966332
2024-04-29 16:00:00,11.53,9.70173541094805,"(3, 0, 2)",62.62051035110172
2024-04-30 16:00:00,10.05,8.528593675444121,"(3, 0, 2)",62.82311309491891
2024-05-01 16:00:00,20.6,7.991241064100635,"(3, 0, 2)",62.59599910483843
2024-05-02 16:00:00,13.81,10.936278375775577,"(3, 0, 2)",65.8205824669538
2024-05-03 16:00:00,10.54,13.134970869548033,"(3, 0, 2)",65.64293097198417
2024-05-04 16:00:00,9.78,12.39067502960689,"(3, 0, 2)",66.15337563681761
2024-05-05 16:00:00,15.09,10.339062071120223,"(3, 0, 2)",66.81475022776259
2024-05-06 16:00:00,10.04,10.66242912738146,"(3, 0, 2)",68.57748447341915
2024-05-07 16:00:00,8.42,7.95128259451586,"(3, 0, 2)",68.61861872351864
2024-05-08 16:00:00,7.01,6.856334227844913,"(3, 0, 2)",68.6425622960727
2024-05-09 16:00:00,11.34,6.623668876198332,"(3, 0, 2)",68.3170839210482
2024-05-10 16:00:00,9.51,12.699238653871463,"(3, 0, 2)",69.62505761272465
2024-05-11 16:00:00,11.55,10.952477269336901,"(3, 0, 2)",69.46001266884092
2024-05-12 16:00:00,18.86,12.15454111946659,"(3, 0, 2)",69.20036481418295
2024-05-13 16:00:00,12.47,12.48282936485892,"(3, 0, 2)",79.98340479046325
2024-05-14 16:00:00,15.15,10.241975128532035,"(3, 0, 2)",77.19646287038546
2024-05-15 16:00:00,15.36,11.801106238803923,"(3, 0, 2)",79.84695895668841
2024-05-16 16:00:00,14.3,14.897532434641821,"(1, 0, 3)",84.35843287420106
2024-05-17 16:00:00,13.03,12.696999003795195,"(1, 0, 3)",84.48279809492915
2024-05-18 16:00:00,13.8,13.16462740068929,"(3, 0, 3)",67.04481749285132
2024-05-19 16:00:00,20.83,14.007212554949257,"(3, 0, 2)",64.57745313727499
2024-05-20 16:00:00,22.71,14.643788294698446,"(1, 0, 3)",51.95352167421433
2024-05-21 16:00:00,17.57,15.036548392979288,"(2, 0, 3)",51.216028859693814
2024-05-22 16:00:00,12.44,12.723766074143944,"(3, 0, 3)",35.293244715208445
2024-05-23 16:00:00,10.68,12.185868461323741,"(2, 0, 3)",44.686569752780144
2024-05-24 16:00:00,8.98,11.24404661820423,"(3, 0, 3)",34.593009208464615
2024-05-25 16:00:00,11.66,10.04507719592574,"(3, 0, 3)",30.976818495705384
2024-05-26 16:00:00,18.49,12.546557405782584,"(3, 0, 3)",28.922113635212845
2024-05-27 16:00:00,13.03,14.310446071238484,"(3, 0, 3)",29.682390292337466
2024-05-28 16:00:00,10.56,10.867992420560082,"(3, 0, 3)",29.78650622963702
2024-05-29 16:00:00,9.84,8.87463639544703,"(3, 0, 3)",29.57463220273793
